#,id,app,name,applied
1,1,contenttypes,0001_initial,2021-10-26 15:55:58.362267 +00:00
2,2,auth,0001_initial,2021-10-26 15:55:59.204860 +00:00
3,3,admin,0001_initial,2021-10-26 15:55:59.434645 +00:00
4,4,admin,0002_logentry_remove_auto_add,2021-10-26 15:55:59.508862 +00:00
5,5,admin,0003_logentry_add_action_flag_choices,2021-10-26 15:55:59.601430 +00:00
6,6,contenttypes,0002_remove_content_type_name,2021-10-26 15:55:59.747314 +00:00
7,7,auth,0002_alter_permission_name_max_length,2021-10-26 15:55:59.873816 +00:00
8,8,auth,0003_alter_user_email_max_length,2021-10-26 15:55:59.990141 +00:00
9,9,auth,0004_alter_user_username_opts,2021-10-26 15:56:00.086118 +00:00
10,10,auth,0005_alter_user_last_login_null,2021-10-26 15:56:00.203826 +00:00
11,11,auth,0006_require_contenttypes_0002,2021-10-26 15:56:00.293597 +00:00
12,12,auth,0007_alter_validators_add_error_messages,2021-10-26 15:56:00.387310 +00:00
13,13,auth,0008_alter_user_username_max_length,2021-10-26 15:56:00.510824 +00:00
14,14,auth,0009_alter_user_last_name_max_length,2021-10-26 15:56:00.630249 +00:00
15,15,auth,0010_alter_group_name_max_length,2021-10-26 15:56:00.753870 +00:00
16,16,auth,0011_update_proxy_permissions,2021-10-26 15:56:00.852189 +00:00
17,17,auth,0012_alter_user_first_name_max_length,2021-10-26 15:56:00.970532 +00:00
18,18,sessions,0001_initial,2021-10-26 15:56:01.168011 +00:00
19,19,main,0001_initial,2021-10-26 18:29:26.436754 +00:00
20,20,main,0002_student_age,2021-10-26 18:35:29.301183 +00:00
21,21,main,0003_course,2021-10-26 18:47:38.838945 +00:00
22,22,main,0004_course_course_difficulty,2021-10-27 02:21:45.325327 +00:00
23,23,main,0005_quiz,2021-11-01 15:27:15.890271 +00:00
24,24,main,0006_auto_20211101_1258,2021-11-01 16:58:05.503852 +00:00
25,25,main,0007_rename_order_quiz_quizorder,2021-11-01 17:04:18.180943 +00:00
26,26,main,0008_question,2021-11-09 17:18:44.420443 +00:00
27,27,main,0009_author_book,2021-11-15 18:08:38.080657 +00:00
28,28,main,0010_alter_author_books,2021-11-15 21:16:48.549947 +00:00
29,29,main,0011_book_numofpages,2021-11-30 03:30:44.331526 +00:00
30,30,main,0012_book_additional_info,2021-11-30 03:58:48.808151 +00:00
